problem,ell,num_data,NFE_mean,NFE_std,NFE_min,NFE_Q1,NFE_med,NFE_Q3,NFE_max
MK,50,100,4906.673,775.957339788,3314.1,4273.725,4848.6,5321.575,7002.2
MK,100,100,11105.242,1662.7489003,8040.5,10103.025,11125.9,12120.5,19418.3
MK,200,100,24867.481,2976.98226971,16937.9,23153.9,24099.45,26360.025,35438.9
MK,400,100,54977.182,7272.50061421,40408.5,48134.6,53737.65,60345.5,85239.3
CYC,52,100,7765.394,1348.62897105,5010.6,6792.7,7616.15,8440.475,12207.1
CYC,100,100,18088.111,3369.32816152,12027.8,15892.55,17571.15,20211.0,29220.5
CYC,200,100,45496.453,8120.55079433,27607.2,39851.6,45444.55,51161.175,65247.9
CYC,400,100,125648.63,18149.0502059,81119.4,116529.475,126491.85,135713.575,171019.9
FTRAP,60,100,16447.828,1542.26975942,13010.2,15396.125,16145.35,17437.55,21099.0
FTRAP,120,100,47178.782,2015.07899063,42794.1,45891.175,46964.2,48258.575,53477.0
FTRAP,240,99,134496.582828,3097.6807902,127604.0,132661.65,134457.7,135941.85,147373.0
FTRAP,480,100,354291.372,13745.606647,338938.5,347492.85,351063.3,354572.05,421217.3
NKs1,50,100,16669.661,10642.6745504,4721.1,10546.8,12927.1,18706.0,75203.8
NKs1,100,100,56199.738,21755.6846485,25051.9,38946.825,52293.5,65673.325,113553.5
NKs1,200,100,238600.985,203038.637545,92454.4,150896.25,185288.8,227748.3,1418006.3
NKs1,400,100,783383.786,429015.530172,300620.1,490388.525,658625.9,882872.3,2580740.0
NKs3,50,100,12802.359,5553.72757398,5644.7,9080.325,11544.05,14703.55,37982.2
NKs3,100,100,48759.164,19007.5680957,22161.9,35042.725,43198.25,58775.025,134205.2
NKs3,200,100,173000.089,76771.3842488,91103.0,117990.575,146029.2,194797.7,478237.6
NKs3,400,100,528518.041,215702.520853,257609.8,387879.35,472855.3,595763.625,1631192.4
NKs5,50,100,3943.175,682.277777797,2601.5,3415.5,3880.8,4341.675,5741.0
NKs5,100,100,10093.164,1415.15602712,7487.2,9042.325,9982.15,11081.075,13701.7
NKs5,200,100,25473.115,2867.33402213,20197.4,23671.275,24871.05,27196.225,36688.0
NKs5,400,100,61416.177,5695.85666131,53073.3,57587.2,59978.35,63783.175,78873.1
SAT,20,100,631.4834,424.256966378,103.1,307.65,484.9,841.625,2151.1
SAT,50,100,15475.333,12446.7701042,2380.0,7552.7,12233.65,18924.1,68736.0
SAT,75,100,66580.365,56185.2183761,6520.9,24514.85,48372.2,89495.65,247933.4
SAT,100,100,217190.572,208012.119205,8335.3,76385.125,150623.35,285750.425,1173697.0
SAT,200,98,7871006.65816,11105498.0923,271640.0,1840261.325,3479331.8,8665036.95,58886721.3
SPIN,36,100,1730.436,1072.49547752,292.1,1026.7,1395.8,1979.3,6280.2
SPIN,100,100,18081.283,8924.12897941,10129.1,13414.175,15415.9,19255.775,67322.6
SPIN,196,100,65322.958,37591.4165925,38071.7,46409.5,53775.2,67927.45,273678.1
SPIN,400,100,232428.279,108288.275302,136894.5,168062.825,185589.55,255756.475,643891.5
SPIN,784,100,877949.167,568242.118943,400357.4,593037.7,674684.95,933951.625,3322155.3
